Tom Clancy's Rainbow Six: Vegas 2,Ubisoft,2008,
Halo 3,Bungie,2007,
Call of Duty: World at War,Treyarch,2008,
Call of Duty: Modern Warfare 2,Infinity Ward,2009,
Halo 3: ODST,Bungie,2009,
Civilization Revolution,Firaxis,2008,
Castle Crashers,The Behemoth,2008,
Assassin's Creed 2,Ubisoft Montreal,2009,
Halo Wars,Ensemble Studios,2009,
Assassin's Creed,Ubisoft Montreal,2007,
Halo: Reach,Bungie,2010,
Assassin's Creed: Brotherhood,Ubisoft Montreal,2010,
Call of Duty 4: Modern Warfare,Infinity Ward,2007,
Call of Duty: Black Ops,Treyarch,2010,
Borderlands,Gearbox Software/Demiurge,2009,
BioShock 2,2K Marin,2010,
Assassin's Creed: Revelations,Ubisoft Montreal,2011,
Halo: Combat Evolved Anniversary,343 Industries,2011,
Call of Duty: Modern Warfare 3,Infinity Ward/Sledgehammer Games,2011,
The Elder Scrolls V: Skyrim,Bethesda Game Studios,2011,
Jurassic Park: The Game,Telltale Games,2011,
Scott Pilgrim vs. the World: The Game,<b id='clue8'>Ubisoft</b> Montreal,2010,
BioShock,Irrational Games/2K,2007,
The Elder Scrolls IV: Oblivion,Bethesda Game Studios,2006,
Borderlands 2,Gearbox Software,2012,
Halo 4,343 Industries,2012,
Assassin's Creed 3,Ubisoft Montreal,2012,
BioShock Infinite,Irrational Games,2013,
Assassin's Creed IV: Black Flag,Ubisoft Montreal,2013,
Borderlands: The Pre-Sequel!,2K Australia/Gearbox Software,2014,
Assassin's Creed: Rogue,Ubisoft Sofia,2014,
Dishonored,Arkane Studios,2012,
