Pokemon X,GameFreak,2013,
The Legend of Zelda: A Link Between Worlds,Nintendo,2013,
The Legend of Zelda: Ocarina of Time 3D,Nintendo/Grezzo,2011,
Pokemon Mystery Dungeon: Gates to Infinity,Spike Chunsoft,2012,
Fire Emblem Awakening,Intelligent Systems,2013,
The Legend of Zelda: Four Swords Anniversary Edition,Nintendo/Grezzo,2011,
Pokemon Battle Trozei,Genius Sonority,2014,
LEGO The Hobbit,Warner Bros. Interactive Entertainment,2014,
Luigi's Mansion: Dark Moon,Nintendo/Next Level Games,2013,
Super Smash Bros. for Nintendo 3DS,Bandai Namco/Sora,2014,
Pokemon Alpha Sapphire,Game Freak,2014,
The Legend of Zelda: Majora's Mask 3D,Nintendo/Grezzo,2015,
