The Lord of the Rings: The Two Towers,Griptonite Games,2002,
Medabots: Metabee Version,Natsume,2002,
Pokemon Sapphire Version,Game Freak,2002,
Pokemon Pinball: Ruby and Sapphire,Jupiter,2003,
Spyro Orange: The Cortex Conspiracy,Vicarious Visions,2004,
Pokemon LeafGreen Version,Game Freak,2004,
Pokemon Emerald Version,Game Freak,2005,
The Hobbit,Saffire,2003,
Medabots: Rokusho Version,Natsume,2002,
Super Mario World: Super Mario Advance 2,Nintendo,2002,
Metroid: Zero Mission,Nintendo,2004,
The Legend of Zelda: A Link to the Past and Four Swords,Nintendo,2002,
Fire Emblem: Rekka no Ken (The Blazing Sword),Intelligent <b id='clue3'>Systems</b>,2003,
Fire Emblem: Fuin no Tsurugi (The Binding Blade),Intelligent Systems,2002,
