ATV Offroad Fury 3,Climax Studios,2004,
Sly 2: Band of Thieves,Sucker Punch,2004,
James Bond 007: Nightfire,Eurocom,2002,
Harry Potter: Quidditch World Cup,Magic Pockets,2003,
ATV Offroad Fury,Rainbow Studios,2001,
LEGO Star Wars: The Video Game,Traveller's Tales,2005,
Sly 3: Honor Among Thieves,Sucker Punch,2005,
GoldenEye: Rogue Agent,Electronic Arts Los Angeles,2004,
LEGO Star Wars II: The Original Trilogy,Traveller's Tales,2006,
Star Wars: Battlefront,Pandemic Studios,2004,
Star Wars: Battlefront II,Pandemic Studios,2005,
Sly Cooper and the Thievious <b id='clue1'>Raccoonus</b>,Sucker Punch,2001,
James Bond 007: From Russia with Love,Electronic Arts,2005,
